Name;Anti-angiogenic peptides;Anti-bacterial peptides;Anti-cancer peptides;Anti-inflammatory peptides;Anti-viral peptides;Cell-penetrating peptides;Quorum-Sensing peptides;Surface-Binding peptides
fea1;0;0;1;0;1;1;0;1
fea2;1;1;0;1;1;1;1;0
fea3;0;0;1;1;0;1;1;1
fea4;0;1;0;1;1;0;1;1
fea5;0;1;0;1;1;1;0;0
fea6;0;1;0;0;0;1;0;1
fea7;0;1;1;0;1;1;0;0
fea8;1;1;0;0;1;1;0;1
fea9;0;1;0;0;0;1;1;1
fea12;0;0;1;0;0;0;0;0
fea18;0;0;0;0;1;0;0;0
fea23;1;0;1;0;0;0;0;0
fea25;1;0;0;0;0;0;0;0
fea27;0;0;0;0;1;0;0;0
fea29;0;0;1;0;0;0;0;0
fea30;0;0;0;0;0;0;0;1
fea40;0;0;1;0;0;0;0;0
fea44;0;0;0;0;0;0;1;0
fea45;0;0;0;1;0;0;0;0
fea47;0;0;0;1;0;0;0;0
fea51;0;0;1;0;0;0;0;0
fea54;1;0;0;0;0;0;0;0
fea58;0;1;1;0;0;0;0;0
fea68;1;0;0;0;0;0;0;0
fea74;0;0;0;0;1;0;0;0
fea76;0;0;0;0;0;1;0;0
fea79;0;0;0;1;0;0;0;0
fea80;0;0;0;1;0;0;0;0
fea81;0;0;0;0;0;0;1;0
fea82;0;0;0;0;0;0;1;0
fea83;0;1;0;0;0;0;0;0
fea84;1;0;0;0;0;0;0;0
fea85;0;0;0;0;0;0;0;1
fea86;0;0;0;0;0;1;0;0
fea87;1;0;0;0;0;0;0;0
fea89;0;0;0;0;0;0;1;1
fea90;0;0;0;0;0;0;1;0
fea93;0;0;0;1;0;0;0;0
fea94;0;1;1;0;0;0;0;0
fea95;1;0;0;1;0;0;0;0
fea96;0;0;0;0;0;0;1;1
fea98;0;0;0;0;1;0;0;0
fea99;1;0;0;0;0;0;0;0
